
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
P4,VDDS33_P4,,,,,,,,,,,,,,,,,
A1,VSS_A1,,,,,,,,,,,,,,,,,
C3,WARMRSTn,,WARMRSTn,,,,,,,,,,,,,,,
L4,VDDS18_L4,,,,,,,,,,,,,,,,,
E3,GPIO50,,EPWM3_B,,PR1_PRU0_GPIO11,,,,GPMC0_A9,GPIO50,,,EPWM6_A,,,,,
D1,GPIO51,,EPWM4_A,,PR1_PRU0_GPIO12,,,,GPMC0_A10,GPIO51,,,EPWM4_A,,,,,
H4,VDDS33_H4,,,,,,,,,,,,,,,,,
T2,VSS_T2,,,,,,,,,,,,,,,,,
P5,VSS_P5,,,,,,,,,,,,,,,,,
E4,GPIO52,,EPWM4_B,,PR1_PRU0_GPIO13,,,,GPMC0_A11,GPIO52,,,EPWM1_B,,,,,
F2,GPIO53,,EPWM5_A,,PR1_PRU0_GPIO14,,,,GPMC0_A12,GPIO53,,,EPWM5_A,,,,,
G2,GPIO54,,EPWM5_B,,PR1_PRU1_GPIO5,OSPI0_RESET_OUT0,,,GPMC0_AD5,GPIO54,,,EPWM8_B,,,,,
E1,GPIO55,,EPWM6_A,PR1_PRU1_GPIO8,CLKOUT0,,,,GPMC0_AD8,GPIO55,,,EPWM3_B,,,,,
F3,GPIO56,,EPWM6_B,PR1_PRU1_GPIO6,,UART2_RTSn,,,GPMC0_A20,GPIO56,,,EPWM6_B,,,,,
N5,VDD_N5,,,,,,,,,,,,,,,,,
K5,VDD_K5,,,,,,,,,,,,,,,,,
D6,VDDS18_D6,,,,,,,,,,,,,,,,,
D8,VDDS33_D8,,,,,,,,,,,,,,,,,
D12,VDDS33_D12,,,,,,,,,,,,,,,,,
F4,GPIO57,,EPWM7_A,PR1_PRU1_GPIO4,OSPI0_CSn1,,,OSPI1_CSn1,GPMC0_AD4,GPIO57,,,EPWM7_A,,,,,
F1,GPIO58,,EPWM7_B,PR1_PRU1_GPIO3,OSPI1_D1,,,OSPI0_D1,GPMC0_AD3,GPIO58,,,EPWM5_B,,,,,
H3,VDDAR3_H3,,,,,,,,,,,,,,,,,
G3,GPIO59,,EPWM8_A,PR1_PRU1_GPIO16,OSPI1_D0,MCAN0_RX,PR0_PRU1_GPIO7,OSPI0_D0,GPMC0_CSn1,GPIO59,UART4_TXD,,EPWM8_A,,,,,
H2,GPIO60,,EPWM8_B,PR1_PRU1_GPIO15,OSPI1_CLK,MCAN0_TX,,OSPI0_CLK,GPMC0_AD15,GPIO60,UART4_RXD,,EPWM9_B,,,,,
G1,GPIO61,,EPWM9_A,LIN1_TXD,OSPI0_RESET_OUT0,SPI2_CLK,UART1_TXD,OSPI1_RESET_OUT0,,GPIO61,,,EPWM9_A,,,,,
J2,GPIO62,,EPWM9_B,LIN1_RXD,OSPI0_CSn0,UART1_RTSn,,OSPI1_CSn0,,GPIO62,,,,,,,,
M5,VSS_M5,,,,,,,,,,,,,,,,,
L5,VSS_L5,,,,,,,,,,,,,,,,,
G4,GPIO63,,LIN0_RXD,UART1_CTSn,,I2C0_SDA,UART2_TXD,,,GPIO63,,,EPWM7_B,,,,,
N15,VDDS18_N15,,,,,,,,,,,,,,,,,
R15,VDDS33_R15,,,,,,,,,,,,,,,,,
J3,GPIO64,,LIN0_TXD,UART2_RTSn,OSPI0_RESET_OUT0,I2C0_SCL,UART4_TXD,,,GPIO64,,,,,,,,
H1,GPIO65,,OSPI0_ECC_FAIL,UART2_CTSn,OSPI0_RESET_OUT1,I2C1_SDA,UART4_RXD,,OSPI0_CSn0,GPIO65,,,,,,,,
G5,VDD_G5,,,,,,,,,,,,,,,,,
N6,VDD_N6,,,,,,,,,,,,,,,,,
J1,GPIO66,,OSPI0_RESET_OUT0,UART3_RTSn,,I2C1_SCL,UART2_RXD,,OSPI0_D1,GPIO66,,,,,,,,
K2,GPIO67,,PR1_PRU0_GPIO0,,OSPI0_D5,UART3_CTSn,,,,GPIO67,,,,,,,,
J4,GPIO68,,PR1_PRU0_GPIO1,,OSPI0_D7,UART1_DCDn,,,,GPIO68,,,,,,,,
K4,GPIO69,,PR1_PRU0_GPIO2,,OSPI0_D3,UART1_RIn,,,,GPIO69,,,,,,,,
K3,GPIO70,,PR1_PRU0_GPIO9,,OSPI0_D1,UART1_DTRn,UART3_CTSn,OSPI1_D1,OSPI0_ECC_FAIL,GPIO70,,,,,,,,
L15,VDDS33_L15,,,,,,,,,,,,,,,,,
M2,GPIO138,,CLKOUT0,LIN1_RXD,OSPI0_ECC_FAIL,UART1_RXD,SPI2_CS0,OSPI1_ECC_FAIL,USB0_DRVVBUS,GPIO138,SAFETY_ERRORn,,,,,,,
E15,VDDS18_E15,,,,,,,,,,,,,,,,,
J5,VSS_J5,,,,,,,,,,,,,,,,,
K6,VDD_K6,,,,,,,,,,,,,,,,,
K1,GPIO10,,MCAN1_TX,OSPI0_D7,OSPI0_CLK,UART1_DTRn,UART3_CTSn,OSPI1_CLK,,GPIO10,,,,,,,,
H5,VSS_H5,,,,,,,,,,,,,,,,,
F5,VSS_F5,,,,,,,,,,,,,,,,,
L2,GPIO9,,MCAN1_RX,OSPI0_D6,OSPI0_DQS,LIN1_TXD,UART1_TXD,OSPI0_CLK,,GPIO9,,,,,,,,
M1,GPIO7,,MCAN0_RX,OSPI0_D4,OSPI0_D2,,,OSPI0_DQS,,GPIO7,,,,,,,,
L1,GPIO8,,MCAN0_TX,OSPI0_D5,OSPI0_D6,,,OSPI0_D2,,GPIO8,,,,,,,,
M3,GPIO76,,UART1_TXD,OSPI0_DQS,OSPI0_D4,,LIN1_TXD,,,GPIO76,,,,,,,,
G6,VDD_G6,,,,,,,,,,,,,,,,,
F9,VDD_F9,,,,,,,,,,,,,,,,,
N2,GPIO2,,OSPI0_CLK,OSPI0_D0,,,UART3_CTSn,OSPI1_D0,,GPIO2,,,,,,,,
J15,NC,,,,,,,,,,,,,,,,,
H15,VDDS33_H15,,,,,,,,,,,,,,,,,
L3,GPIO75,,UART1_RXD,OSPI0_LBCLKO,,,LIN1_RXD,OSPI1_LBCLKO,GPMC0_CLK,GPIO75,,,,,,,,
E5,VSS_E5,,,,,,,,,,,,,,,,,
E9,VDD_E9,,,,,,,,,,,,,,,,,
M6,VSS_M6,,,,,,,,,,,,,,,,,
L6,VSS_L6,,,,,,,,,,,,,,,,,
J6,VSS_J6,,,,,,,,,,,,,,,,,
F11,VDD_F11,,,,,,,,,,,,,,,,,
N1,GPIO3,,OSPI0_D0,EPWM9_A,PR1_PRU1_GPIO11,UART1_DCDn,,,GPMC0_AD11,GPIO3,,,,,,,,
N4,GPIO4,,OSPI0_D1,EPWM9_B,PR1_PRU1_GPIO12,UART1_RIn,,,GPMC0_AD12,GPIO4,,,,,,,,
M4,GPIO5,,OSPI0_D2,SPI0_D0,OSPI0_D6,,,,,GPIO5,,,,,,,,
N3,VPP_N3,,,,,,,,,,,,,,,,,
P3,GPIO6,,OSPI0_D3,SPI0_D1,OSPI0_D4,,,,,GPIO6,,,,,,,,
P1,GPIO0,,OSPI0_CSn0,SPI0_CS0,UART3_RXD,,OSPI0_D0,,,GPIO0,,,,,,,,
R3,GPIO1,,OSPI0_CSn1,SPI0_CLK,UART3_TXD,,,UART2_RTSn,,GPIO1,,,XBAROUT0,,,,,
P2,GPIO121,,EXT_REFCLK0,SAFETY_ERRORn,USB0_DRVVBUS,PR0_IEP0_EDIO_DATA_IN_OUT30,,,GPMC0_A18,GPIO121,,EQEP1_INDEX,XBAROUT15,,,,,
H6,VSS_H6,,,,,,,,,,,,,,,,,
E11,VDD_E11,,,,,,,,,,,,,,,,,
R2,PORz,,PORz,,,,,,,,,,,,,,,
F6,VSS_F6,,,,,,,,,,,,,,,,,
E6,VSS_E6,,,,,,,,,,,,,,,,,
N7,VSS_N7,,,,,,,,,,,,,,,,,
U3,GPIO140,,USB0_DM,UART5_TXD,,,,,,GPIO140,,,,,,,,
V2,GPIO139,,USB0_DP,UART5_RXD,,,,,,GPIO139,,,,,,,,
M7,VSS_M7,,,,,,,,,,,,,,,,,
R4,VDDA18_OSC_PLL_R4,,,,,,,,,,,,,,,,,
L7,VSS_L7,,,,,,,,,,,,,,,,,
K7,VSS_K7,,,,,,,,,,,,,,,,,
N13,VDD_N13,,,,,,,,,,,,,,,,,
J7,VSS_J7,,,,,,,,,,,,,,,,,
K13,VDD_K13,,,,,,,,,,,,,,,,,
G13,VDD_G13,,,,,,,,,,,,,,,,,
H7,VSS_H7,,,,,,,,,,,,,,,,,
G7,VSS_G7,,,,,,,,,,,,,,,,,
F7,VSS_F7,,,,,,,,,,,,,,,,,
T3,VDDS18_LDO_T3,,,,,,,,,,,,,,,,,
N14,VDD_N14,,,,,,,,,,,,,,,,,
K14,VDD_K14,,,,,,,,,,,,,,,,,
E7,VSS_E7,,,,,,,,,,,,,,,,,
N8,VSS_N8,,,,,,,,,,,,,,,,,
G14,VDD_G14,,,,,,,,,,,,,,,,,
R1,XTAL_XO,,XTAL_XO,,,,,,,,,,,,,,,
M8,VSS_M8,,,,,,,,,,,,,,,,,
T1,XTAL_XI,,XTAL_XI,,,,,,,,,,,,,,,
L8,VSS_L8,,,,,,,,,,,,,,,,,
K8,VSS_K8,,,,,,,,,,,,,,,,,
T4,VDD_TEMP_T4,,,,,,,,,,,,,,,,,
U1,TEMPCAL,,,,,,,,,,,,,,,,,
V1,VSSA_V1,,,,,,,,,,,,,,,,,
T5,DAC_OUT,,DAC_OUT,,,,,,,,,,,,,,,
P7,VDDA33_P7,,,,,,,,,,,,,,,,,
P9,VDDA33_P9,,,,,,,,,,,,,,,,,
R6,VDDA18_LDO_R6,,,,,,,,,,,,,,,,,
R8,VDDA18_LDO_R8,,,,,,,,,,,,,,,,,
U2,VSYS_MON,,VSYS_MON,,,,,,,,,,,,,,,
R5,VSSA_R5,,,,,,,,,,,,,,,,,
T6,ATESTV1,,,,,,,,,,,,,,,,,
T8,ADC2_AIN5,,ADC2_AIN5,,,,,,,,,,,,,,,
V9,ADC2_AIN4,,ADC2_AIN4,,,,,,,,,,,,,,,
T9,ADC2_AIN3,,ADC2_AIN3,,,,,,,,,,,,,,,
U10,ADC2_AIN2,,ADC2_AIN2,,,,,,,,,,,,,,,
T10,ADC2_AIN1,,ADC2_AIN1,,,,,,,,,,,,,,,
R10,ADC2_AIN0,,ADC2_AIN0,,,,,,,,,,,,,,,
V10,ADC_VREFHI2,,,,,,,,,,,,,,,,,
V11,ADC_VREFHISRC0,,,,,,,,,,,,,,,,,
J8,VSS_J8,,,,,,,,,,,,,,,,,
R11,VDDA18_LDO_R11,,,,,,,,,,,,,,,,,
P6,VSSA_P6,,,,,,,,,,,,,,,,,
R12,ADC1_AIN5,,ADC1_AIN5,,,,,,,,,,,,,,,
U12,ADC1_AIN4,,ADC1_AIN4,,,,,,,,,,,,,,,
V12,ADC1_AIN3,,ADC1_AIN3,,,,,,,,,,,,,,,
T12,ADC1_AIN2,,ADC1_AIN2,,,,,,,,,,,,,,,
U11,ADC1_AIN1,,ADC1_AIN1,,,,,,,,,,,,,,,
T11,ADC1_AIN0,,ADC1_AIN0,,,,,,,,,,,,,,,
P11,VDDA33_P11,,,,,,,,,,,,,,,,,
V14,ADC_VREFHI1,,,,,,,,,,,,,,,,,
V13,ADC_VREFLO1,,,,,,,,,,,,,,,,,
V15,ADC0_AIN0,,ADC0_AIN0,,,,,,,,,,,,,,,
U15,ADC0_AIN1,,ADC0_AIN1,,,,,,,,,,,,,,,
T14,ADC0_AIN2,,ADC0_AIN2,,,,,,,,,,,,,,,
U14,ADC0_AIN3,,ADC0_AIN3,,,,,,,,,,,,,,,
U13,ADC0_AIN4,,ADC0_AIN4,,,,,,,,,,,,,,,
R14,ADC0_AIN5,,ADC0_AIN5,,,,,,,,,,,,,,,
U16,ADC_CAL0,,,,,,,,,,,,,,,,,
T13,DAC_VREF0,,DAC_VREF0,,,,,,,,,,,,,,,
P8,VSSA_P8,,,,,,,,,,,,,,,,,
H8,VSS_H8,,,,,,,,,,,,,,,,,
V17,GPIO71,,PR1_PRU1_GPIO0,UART1_DSRn,,UART4_RTSn,,,GPMC0_AD0,GPIO71,,,,,,,,
T16,GPIO72,,PR1_PRU1_GPIO1,,MII1_RX_ER,UART4_CTSn,,,GPMC0_AD1,GPIO72,,,,,,,,
G8,VSS_G8,,,,,,,,,,,,,,,,,
F8,VSS_F8,,,,,,,,,,,,,,,,,
E8,VSS_E8,,,,,,,,,,,,,,,,,
P15,GPIO73,,PR1_PRU1_GPIO2,,MII1_COL,UART5_TXD,,,GPMC0_AD2,GPIO73,,CHANNEL4,,,,,,
R16,GPIO74,,PR1_PRU1_GPIO9,,MII1_CRS,UART5_RXD,,,GPMC0_AD9,GPIO74,,CHANNEL5,,,,,,
U17,GPIO31,,RGMII1_RD0,RMII1_RXD0,MII1_RXD0,OSPI1_D1,,,FSITX0_D1,GPIO31,,,,,,,,
T17,GPIO32,,RGMII1_RD1,RMII1_RXD1,MII1_RXD1,OSPI1_D2,,,FSIRX0_CLK,GPIO32,,,,,,,,
U18,GPIO33,,RGMII1_RD2,PR1_IEP0_EDC_SYNC_OUT0,MII1_RXD2,OSPI1_D3,UART1_RXD,,FSIRX0_D0,GPIO33,EQEP0_A,GPMC0_CSn2,,,,,,
T18,GPIO34,,RGMII1_RD3,PR1_IEP0_EDIO_DATA_IN_OUT31,MII1_RXD3,OSPI1_D4,UART1_TXD,,FSIRX0_D1,GPIO34,EQEP0_B,GPMC0_CSn3,,,,,,
R17,GPIO29,,RGMII1_RXC,RMII1_REF_CLK,MII1_RXCLK,OSPI1_CLK,,,FSITX0_CLK,GPIO29,,,,,,,,
R18,GPIO30,,RGMII1_RX_CTL,RMII1_RX_ER,MII1_RXDV,OSPI1_D0,,,FSITX0_D0,GPIO30,,,,,,,,
P16,GPIO37,,RGMII1_TD0,RMII1_TXD0,MII1_TXD0,OSPI1_D7,,,,GPIO37,EQEP1_A,,,,,,,
P17,GPIO38,,RGMII1_TD1,RMII1_TXD1,MII1_TXD1,OSPI1_CSn0,,,,GPIO38,EQEP1_B,,,,,,,
P18,GPIO39,,RGMII1_TD2,RMII1_CRS_DV,MII1_TXD2,OSPI1_DQS,,,,GPIO39,EQEP1_STROBE,,,,,,,
N9,VSS_N9,,,,,,,,,,,,,,,,,
M9,VSS_M9,,,,,,,,,,,,,,,,,
N17,GPIO40,,RGMII1_TD3,PR0_PRU0_GPIO7,MII1_TXD3,OSPI1_ECC_FAIL,UART4_TXD,PR0_IEP0_EDC_SYNC_OUT1,PR1_IEP0_EDC_SYNC_OUT1,GPIO40,EQEP1_INDEX,,,,,,,
N18,GPIO35,,RGMII1_TXC,PR1_IEP0_EDIO_DATA_IN_OUT30,MII1_TXCLK,OSPI1_D5,UART4_RXD,,,GPIO35,EQEP0_INDEX,,,,,,,
M18,GPIO36,,RGMII1_TX_CTL,RMII1_TX_EN,MII1_TX_EN,OSPI1_D6,,,,GPIO36,EQEP0_STROBE,,,,,,,
L9,VSS_L9,,,,,,,,,,,,,,,,,
N16,GPIO41,,MDIO0_MDIO,MCAN1_RX,,OSPI1_RESET_OUT0,,,,GPIO41,,,,,,,,
K9,VSS_K9,,,,,,,,,,,,,,,,,
M17,GPIO42,,MDIO0_MDC,MCAN1_TX,,,,,,GPIO42,,,,,,,,
L18,GPIO86,,PR0_MDIO0_MDC,LIN0_TXD,MCAN0_TX,,,,,GPIO86,,,XBAROUT15,,,,,
L17,GPIO85,,PR0_MDIO0_MDIO,LIN0_RXD,MCAN0_RX,,,,,GPIO85,,,XBAROUT14,,,,,
M16,GPIO99,,PR0_PRU0_GPIO11,,RMII2_TXD0,RGMII2_TD0,MII2_TXD0,,,GPIO99,,,,,,,,
J9,VSS_J9,,,,,,,,,,,,,,,,,
M15,GPIO100,,PR0_PRU0_GPIO12,,RMII2_TXD1,RGMII2_TD1,MII2_TXD1,,,GPIO100,,,,,,,,
L16,GPIO98,,PR0_PRU0_GPIO15,,RMII2_TX_EN,RGMII2_TX_CTL,MII2_TX_EN,,,GPIO98,,,,,,,,
K17,GPIO93,,PR0_PRU0_GPIO0,PR1_PRU0_GPIO0,RMII2_RXD0,RGMII2_RD0,MII2_RXD0,,,GPIO93,TRC_DATA0,CHANNEL6,XBAROUT8,,,,,
H9,VSS_H9,,,,,,,,,,,,,,,,,
G9,VSS_G9,,,,,,,,,,,,,,,,,
K18,GPIO94,,PR0_PRU0_GPIO1,PR1_PRU0_GPIO1,RMII2_RXD1,RGMII2_RD1,MII2_RXD1,,,GPIO94,TRC_DATA1,CHANNEL7,XBAROUT11,,,,,
K15,GPIO91,,PR0_PRU0_GPIO6,I2C0_SCL,RMII2_REF_CLK,RGMII2_RXC,MII2_RXCLK,,,GPIO91,,,,,,,,
J18,GPIO95,,PR0_PRU0_GPIO2,PR1_PRU0_GPIO2,,RGMII2_RD2,MII2_RXD2,,,GPIO95,TRC_DATA2,CHANNEL8,XBAROUT12,,,,,
J17,GPIO96,,PR0_PRU0_GPIO3,UART3_TXD,,RGMII2_RD3,MII2_RXD3,,,GPIO96,TRC_DATA3,CHANNEL9,XBAROUT13,,,,,
N10,VSS_N10,,,,,,,,,,,,,,,,,
K16,GPIO92,,PR0_PRU0_GPIO4,UART3_RXD,,RGMII2_RX_CTL,MII2_RXDV,,,GPIO92,TRC_CLK,CHANNEL5,XBAROUT7,,,,,
H18,GPIO97,,PR0_PRU0_GPIO16,,,RGMII2_TXC,MII2_TXCLK,,,GPIO97,,,,,,,,
H17,GPIO101,,PR0_PRU0_GPIO13,,,RGMII2_TD2,MII2_TXD2,,,GPIO101,,,,,,,,
H16,GPIO102,,PR0_PRU0_GPIO14,,,RGMII2_TD3,MII2_TXD3,,,GPIO102,,,,,,,,
M10,VSS_M10,,,,,,,,,,,,,,,,,
J16,VNWA_J16,,,,,,,,,,,,,,,,,
G17,GPIO87,,PR0_PRU0_GPIO5,UART3_RTSn,RMII2_RX_ER,,MII2_RX_ER,,,GPIO87,TRC_CTL,CHANNEL4,XBAROUT6,,,,,
G18,GPIO89,,PR0_PRU0_GPIO10,UART3_CTSn,RMII2_CRS_DV,PR0_UART0_RTSn,MII2_CRS,,,GPIO89,,,,,,,,
F17,GPIO88,,PR0_PRU0_GPIO9,PR1_PRU0_GPIO9,PR0_IEP0_EDC_SYNC_OUT1,PR0_UART0_CTSn,MII2_COL,,,GPIO88,,,,,,,,
G15,GPIO90,,PR0_PRU0_GPIO8,I2C0_SDA,,,,,,GPIO90,,,,,,,,
F18,GPIO109,,PR0_PRU1_GPIO0,MCAN1_RX,RMII1_RXD0,RGMII1_RD0,MII1_RXD0,,,GPIO109,TRC_DATA6,,,,,,,
G16,GPIO110,,PR0_PRU1_GPIO1,MCAN1_TX,RMII1_RXD1,RGMII1_RD1,MII1_RXD1,,,GPIO110,TRC_DATA7,,,,,,,
L10,VSS_L10,,,,,,,,,,,,,,,,,
K10,VSS_K10,,,,,,,,,,,,,,,,,
