
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
G5,VDDSHV_A_G5,,,,,,,,,,,,,,,,,
Y1,VSS_Y1,,,,,,,,,,,,,,,,,
G3,WARMRSTn,,WARMRSTn,,,,,,,,,,,,,,,
N4,VDDS18_N4,,,,,,,,,,,,,,,,,
C2,GPIO50,,EPWM3_B,,PR1_PRU0_GPIO11,,,,GPMC0_A9,GPIO50,,,EPWM6_A,,,,,
D2,GPIO51,,EPWM4_A,,PR1_PRU0_GPIO12,,,,GPMC0_A10,GPIO51,,,EPWM4_A,,,,,
E7,VDDSHV_A_E7,,,,,,,,,,,,,,,,,
A1,VSS_A1,,,,,,,,,,,,,,,,,
W2,VSS_W2,,,,,,,,,,,,,,,,,
D1,GPIO52,,EPWM4_B,,PR1_PRU0_GPIO13,,,,GPMC0_A11,GPIO52,,,EPWM1_B,,,,,
E2,GPIO53,,EPWM5_A,,PR1_PRU0_GPIO14,,,,GPMC0_A12,GPIO53,,,EPWM5_A,,,,,
E1,GPIO54,,EPWM5_B,,PR1_PRU1_GPIO5,OSPI0_RESET_OUT0,,,GPMC0_AD5,GPIO54,,,EPWM8_B,,,,,
F2,GPIO55,,EPWM6_A,PR1_PRU1_GPIO8,CLKOUT0,,,,GPMC0_AD8,GPIO55,,,EPWM3_B,,,,,
F1,GPIO56,,EPWM6_B,PR1_PRU1_GPIO6,,UART2_RTSn,,,GPMC0_A20,GPIO56,,,EPWM6_B,,,,,
P6,VDD_P6,,,,,,,,,,,,,,,,,
M6,VDD_M6,,,,,,,,,,,,,,,,,
F4,VDDS18_F4,,,,,,,,,,,,,,,,,
E12,VDDSHV_A_E12,,,,,,,,,,,,,,,,,
J5,VDDSHV_D_J5,,,,,,,,,,,,,,,,,
G2,GPIO57,,EPWM7_A,PR1_PRU1_GPIO4,OSPI0_CSn1,,,OSPI1_CSn1,GPMC0_AD4,GPIO57,,,EPWM7_A,,,,,
G1,GPIO58,,EPWM7_B,PR1_PRU1_GPIO3,OSPI1_D1,,,OSPI0_D1,GPMC0_AD3,GPIO58,,,EPWM5_B,,,,,
H4,VDDAR3_H4,,,,,,,,,,,,,,,,,
